,OR,conc,Firefly,Renilla,Normalized,Project,Plate,Row,Column,Renilla_bgnorm,Firefly_bgnorm,Background_Subtracted,Background_Divided,plate-type,exp datetime
143,Rho-pCI,4,243.117,6222.51,0.0390707,EXP_025_50_01 Secondary Screen/map1,sPREP795,D,12,0.956134,-0.0676538,-0.0429026,0.476627,sample,2023-01-18 15:16:25
144,AR_53,5,171.513,2995.55,0.0572561,EXP_025_50_01 Secondary Screen/map1,sPREP795,E,1,0.360363,-0.126836,-0.0319471,0.641861,sample,2023-01-18 15:16:25
145,AR_53,5,258.712,2628.06,0.0984425,EXP_025_50_01 Secondary Screen/map1,sPREP795,E,2,0.381877,-0.137109,-0.0592083,0.624434,sample,2023-01-18 15:16:25
146,AR_53,5,247.501,2220.71,0.111452,EXP_025_50_01 Secondary Screen/map1,sPREP795,E,3,0.276371,0.0875827,-0.0193464,0.85209,sample,2023-01-18 15:16:25
147,AR_101,5,164.039,1936.68,0.0847012,EXP_025_50_01 Secondary Screen/map1,sPREP795,E,4,0.0768872,-0.290816,-0.0439165,0.65855,sample,2023-01-18 15:16:25
148,AR_101,5,192.69,2801.21,0.0687882,EXP_025_50_01 Secondary Screen/map1,sPREP795,E,5,0.486558,-0.0252073,-0.0361137,0.655738,sample,2023-01-18 15:16:25
149,AR_101,5,191.445,3235.97,0.0591614,EXP_025_50_01 Secondary Screen/map1,sPREP795,E,6,0.289379,-0.130176,-0.0285362,0.674607,sample,2023-01-18 15:16:25
150,AR_74,5,2697.82,2180.84,1.23705,EXP_025_50_01 Secondary Screen/map1,sPREP795,E,7,0.319597,6.29969,1.01343,5.53176,sample,2023-01-18 15:16:25
151,AR_74,5,2185.83,2238.15,0.976623,EXP_025_50_01 Secondary Screen/map1,sPREP795,E,8,-0.0380153,2.93708,0.737996,4.09267,sample,2023-01-18 15:16:25
152,AR_74,5,3138.8,2846.06,1.10286,EXP_025_50_01 Secondary Screen/map1,sPREP795,E,9,0.130091,5.0616,0.897249,5.36381,sample,2023-01-18 15:16:25
153,Rho-pCI,5,500.378,3938.57,0.127046,EXP_025_50_01 Secondary Screen/map1,sPREP795,E,10,0.399797,0.478497,0.00676263,1.05622,sample,2023-01-18 15:16:25
154,Rho-pCI,5,541.487,4613.76,0.117363,EXP_025_50_01 Secondary Screen/map1,sPREP795,E,11,1.17395,0.147881,-0.104909,0.528016,sample,2023-01-18 15:16:25
155,Rho-pCI,5,414.425,3537.44,0.117154,EXP_025_50_01 Secondary Screen/map1,sPREP795,E,12,0.161102,0.034195,-0.0143761,0.890701,sample,2023-01-18 15:16:25
156,AR_53,6,182.725,2410.06,0.0758177,EXP_025_50_01 Secondary Screen/map1,sPREP795,F,1,0.22862,-0.0517182,-0.0224137,0.771827,sample,2023-01-18 15:16:25
157,AR_53,6,196.427,2249.36,0.087326,EXP_025_50_01 Secondary Screen/map1,sPREP795,F,2,0.171243,-0.141547,-0.0318185,0.732942,sample,2023-01-18 15:16:25
158,AR_53,6,175.251,2679.13,0.0654132,EXP_025_50_01 Secondary Screen/map1,sPREP795,F,3,0.370142,-0.34773,-0.0719922,0.47606,sample,2023-01-18 15:16:25
159,AR_101,6,122.931,2533.38,0.0485245,EXP_025_50_01 Secondary Screen/map1,sPREP795,F,4,0.382819,-0.393399,-0.062093,0.43867,sample,2023-01-18 15:16:25
